path_param_ventricular,APD_min,APD_max,record_id,disease_class
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000036_VentricularParameters.txt,158.84562057532023,246.1961460405882,mc_rbbb_test_run_S64_run_000036,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000081_VentricularParameters.txt,163.7950533273382,234.12478101291717,mc_rbbb_test_run_S64_run_000081,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000041_VentricularParameters.txt,161.40094683503483,244.3779002552517,mc_rbbb_test_run_S64_run_000041,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000018_VentricularParameters.txt,172.32636633187738,243.13232130703798,mc_rbbb_test_run_S64_run_000018,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000049_VentricularParameters.txt,166.3886940376687,247.10576233265962,mc_rbbb_test_run_S64_run_000049,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000089_VentricularParameters.txt,154.4902301298799,246.55146940275108,mc_rbbb_test_run_S64_run_000089,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000067_VentricularParameters.txt,152.14030112306125,242.86353102726872,mc_rbbb_test_run_S64_run_000067,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000010_VentricularParameters.txt,151.48818596104806,234.67476669059437,mc_rbbb_test_run_S64_run_000010,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000072_VentricularParameters.txt,160.05290307159356,245.08058354405966,mc_rbbb_test_run_S64_run_000072,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000005_VentricularParameters.txt,170.43364979609063,248.24942064735345,mc_rbbb_test_run_S64_run_000005,rbbb
WP2_largeDataset_ParameterFiles/rbbb/test/run_S64/run_000023_VentricularParameters.txt,164.81530859253812,228.91638334618378,mc_rbbb_test_run_S64_run_000023,rbbb
